claim_id,customer_tier,incident_type,claim_amount,documents_verified,prior_claims_count,policy_tenure_years,days_since_incident,region,channel,fraud_score,ai_initial_decision,human_final_decision,processing_cost,processing_time_hours,outcome,successful_outcome
CLM100034,standard,medical,17600.0,True,0,1.4,16,east,agent,0.082,AUTO_PROCESS,N/A,41.64,0.24,SUCCESSFUL,1
CLM100035,standard,mechanical,11000.0,True,2,3.1,0,west,app,0.125,AUTO_PROCESS,N/A,42.5,0.15,SUCCESSFUL,1
CLM100036,standard,mechanical,61300.0,True,0,3.9,29,east,app,0.286,HUMAN_REVIEW,APPROVE,267.64,66.5,SUCCESSFUL,1
CLM100037,standard,mechanical,47400.0,True,3,2.8,14,east,app,0.466,AUTO_PROCESS,N/A,49.32,0.27,FRAUD_CONFIRMED,0
CLM100038,standard,airline_fault,36000.0,True,0,3.8,10,south,call_center,0.168,AUTO_PROCESS,N/A,43.36,0.17,SUCCESSFUL,1
CLM100039,silver,mechanical,41800.0,False,1,3.2,0,east,app,0.366,AUTO_PROCESS,N/A,47.32,0.29,SUCCESSFUL,1
CLM100040,standard,other,8300.0,True,1,8.4,4,north,call_center,0.343,AUTO_PROCESS,N/A,46.86,0.09,SUCCESSFUL,1
CLM100041,silver,airline_fault,23200.0,True,2,2.2,37,south,agent,0.0,AUTO_PROCESS,N/A,40.0,0.19,SUCCESSFUL,1
CLM100042,silver,other,11500.0,True,3,7.0,35,west,agent,0.399,AUTO_PROCESS,N/A,47.98,0.24,SUCCESSFUL,1
CLM100043,standard,airline_fault,8500.0,True,0,2.7,21,south,app,0.002,AUTO_PROCESS,N/A,40.04,0.25,SUCCESSFUL,1
CLM100044,silver,mechanical,23400.0,True,0,2.2,19,south,app,0.042,AUTO_PROCESS,N/A,40.84,0.21,SUCCESSFUL,1
CLM100045,silver,theft,36700.0,True,0,5.9,1,north,agent,0.432,AUTO_PROCESS,N/A,48.64,0.08,SUCCESSFUL,1
CLM100046,standard,other,33700.0,False,2,2.1,43,east,agent,0.628,AUTO_PROCESS,N/A,52.56,0.13,SUCCESSFUL,1
CLM100047,standard,airline_fault,16700.0,True,1,3.9,6,east,app,0.144,AUTO_PROCESS,N/A,42.88,0.19,SUCCESSFUL,1
CLM100048,silver,airline_fault,34900.0,True,1,3.6,36,north,agent,0.0,AUTO_PROCESS,N/A,40.0,0.23,SUCCESSFUL,1
CLM100049,standard,theft,12600.0,True,1,10.2,41,north,agent,0.265,AUTO_PROCESS,N/A,45.3,0.09,DISPUTED,0
CLM100050,standard,weather,27300.0,True,0,3.8,43,south,agent,0.204,AUTO_PROCESS,N/A,44.08,0.07,SUCCESSFUL,1
CLM100051,standard,theft,9900.0,True,0,0.7,17,west,app,0.441,AUTO_PROCESS,N/A,48.82,0.17,SUCCESSFUL,1
CLM100052,silver,other,4200.0,True,0,4.6,32,north,app,0.057,AUTO_PROCESS,N/A,41.14,0.15,SUCCESSFUL,1
CLM100053,silver,airline_fault,42100.0,False,0,7.1,10,east,app,0.355,AUTO_PROCESS,N/A,47.1,0.09,SUCCESSFUL,1
CLM100054,silver,other,30700.0,True,2,5.7,15,south,call_center,0.303,AUTO_PROCESS,N/A,46.06,0.23,SUCCESSFUL,1
CLM100055,silver,airline_fault,10900.0,True,1,4.4,9,north,app,0.026,AUTO_PROCESS,N/A,40.52,0.3,SUCCESSFUL,1
CLM100056,standard,other,13100.0,True,1,3.1,33,south,app,0.228,AUTO_PROCESS,N/A,44.56,0.14,SUCCESSFUL,1
CLM100057,silver,other,1800.0,True,0,5.4,18,east,agent,0.235,AUTO_PROCESS,N/A,44.7,0.28,SUCCESSFUL,1
CLM100058,standard,medical,27200.0,False,0,3.9,37,north,agent,0.698,AUTO_PROCESS,N/A,53.96,0.27,SUCCESSFUL,1
CLM100059,standard,other,30400.0,True,0,4.4,17,west,app,0.162,AUTO_PROCESS,N/A,43.24,0.25,FRAUD_CONFIRMED,0
CLM100060,silver,other,32300.0,True,0,5.8,31,south,app,0.147,AUTO_PROCESS,N/A,42.94,0.09,SUCCESSFUL,1
CLM100061,standard,airline_fault,41100.0,False,1,8.6,3,north,call_center,0.318,AUTO_PROCESS,N/A,46.36,0.16,DISPUTED,0
CLM100062,silver,airline_fault,50900.0,True,0,2.7,40,north,call_center,0.0,HUMAN_REVIEW,APPROVE,246.71,36.04,SUCCESSFUL,1
CLM100063,silver,airline_fault,6700.0,True,1,2.6,13,west,app,0.091,AUTO_PROCESS,N/A,41.82,0.23,SUCCESSFUL,1
CLM100064,silver,mechanical,17700.0,False,0,4.3,1,south,app,0.347,AUTO_PROCESS,N/A,46.94,0.07,DISPUTED,0
CLM100065,silver,theft,38500.0,True,0,3.9,34,east,agent,0.334,AUTO_PROCESS,N/A,46.68,0.1,SUCCESSFUL,1
CLM100066,silver,mechanical,6600.0,True,3,4.1,16,south,agent,0.401,AUTO_PROCESS,N/A,48.02,0.25,SUCCESSFUL,1
CLM100067,standard,medical,13000.0,True,0,2.6,38,east,app,0.055,AUTO_PROCESS,N/A,41.1,0.19,SUCCESSFUL,1
CLM100068,standard,mechanical,79700.0,True,2,1.7,35,west,app,0.275,HUMAN_REVIEW,REJECT,223.2,71.6,FRAUD_CONFIRMED,0
CLM100069,standard,airline_fault,12000.0,True,1,1.5,20,south,agent,0.112,AUTO_PROCESS,N/A,42.24,0.17,SUCCESSFUL,1
CLM100070,standard,weather,24600.0,False,0,1.6,34,south,app,0.449,AUTO_PROCESS,N/A,48.98,0.25,SUCCESSFUL,1
CLM100071,standard,other,36000.0,True,0,2.3,7,east,app,0.242,AUTO_PROCESS,N/A,44.84,0.08,DISPUTED,0
CLM100072,premium,mechanical,40400.0,False,2,9.9,14,east,app,0.285,AUTO_PROCESS,N/A,45.7,0.08,SUCCESSFUL,1
CLM100073,standard,weather,42900.0,True,0,5.0,20,north,agent,0.123,AUTO_PROCESS,N/A,42.46,0.15,SUCCESSFUL,1
CLM100074,standard,airline_fault,10100.0,True,0,6.4,39,south,agent,0.032,AUTO_PROCESS,N/A,40.64,0.14,SUCCESSFUL,1
CLM100075,standard,other,13400.0,True,0,1.6,11,west,agent,0.24,AUTO_PROCESS,N/A,44.8,0.17,SUCCESSFUL,1
CLM100076,standard,weather,54500.0,True,0,3.7,23,north,agent,0.341,HUMAN_REVIEW,APPROVE,286.85,9.21,SUCCESSFUL,1
CLM100077,silver,theft,31600.0,True,0,5.9,13,east,agent,0.136,AUTO_PROCESS,N/A,42.72,0.11,CUSTOMER_COMPLAINT,0
CLM100078,silver,airline_fault,28900.0,True,4,2.0,4,west,agent,0.158,AUTO_PROCESS,N/A,43.16,0.18,SUCCESSFUL,1
CLM100079,silver,airline_fault,33400.0,True,2,4.1,0,north,call_center,0.043,AUTO_PROCESS,N/A,40.86,0.14,SUCCESSFUL,1
CLM100080,silver,medical,5100.0,True,0,2.6,35,south,app,0.231,AUTO_PROCESS,N/A,44.62,0.16,SUCCESSFUL,1
CLM100081,standard,theft,6200.0,True,1,1.4,43,west,app,0.221,AUTO_PROCESS,N/A,44.42,0.08,SUCCESSFUL,1
CLM100082,silver,medical,29600.0,True,0,1.1,23,west,app,0.199,AUTO_PROCESS,N/A,43.98,0.27,REOPENED,0
CLM100083,standard,weather,30500.0,True,2,4.4,2,west,app,0.073,AUTO_PROCESS,N/A,41.46,0.3,SUCCESSFUL,1
CLM100084,standard,other,13200.0,True,0,3.0,43,west,app,0.297,AUTO_PROCESS,N/A,45.94,0.25,SUCCESSFUL,1
CLM100085,standard,theft,112800.0,True,1,3.5,5,north,call_center,0.534,HUMAN_REVIEW,REJECT,285.91,47.21,FRAUD_CONFIRMED,0
CLM100086,silver,other,26100.0,False,0,1.3,0,east,call_center,0.353,AUTO_PROCESS,N/A,47.06,0.07,SUCCESSFUL,1
CLM100087,standard,airline_fault,30500.0,True,2,5.2,21,north,app,0.055,AUTO_PROCESS,N/A,41.1,0.15,SUCCESSFUL,1
CLM100088,standard,mechanical,9600.0,True,0,11.2,32,south,app,0.207,AUTO_PROCESS,N/A,44.14,0.21,REOPENED,0
CLM100089,standard,mechanical,29100.0,True,0,6.5,18,south,agent,0.0,AUTO_PROCESS,N/A,40.0,0.08,SUCCESSFUL,1
CLM100090,standard,medical,8400.0,True,1,2.4,1,east,app,0.326,AUTO_PROCESS,N/A,46.52,0.18,SUCCESSFUL,1
CLM100091,silver,medical,10700.0,True,2,0.9,1,south,app,0.108,AUTO_PROCESS,N/A,42.16,0.1,SUCCESSFUL,1
CLM100092,standard,mechanical,53700.0,False,2,6.0,35,east,app,0.382,HUMAN_REVIEW,REJECT,314.02,59.54,CUSTOMER_COMPLAINT,0
CLM100093,standard,airline_fault,21800.0,True,1,7.3,33,north,app,0.093,AUTO_PROCESS,N/A,41.86,0.07,SUCCESSFUL,1
CLM100094,standard,airline_fault,12100.0,False,2,5.2,39,east,app,0.35,AUTO_PROCESS,N/A,47.0,0.25,SUCCESSFUL,1
CLM100095,silver,airline_fault,21700.0,False,1,3.5,44,west,agent,0.435,AUTO_PROCESS,N/A,48.7,0.19,DISPUTED,0
CLM100096,standard,other,73500.0,False,0,7.1,39,north,agent,0.79,HUMAN_REVIEW,REJECT,228.39,69.01,FRAUD_CONFIRMED,0
CLM100097,standard,weather,207200.0,True,0,4.3,3,east,app,0.383,HUMAN_REVIEW,REJECT,265.91,42.09,FRAUD_CONFIRMED,0
CLM100098,standard,airline_fault,13300.0,True,1,3.4,15,south,app,0.0,AUTO_PROCESS,N/A,40.0,0.21,SUCCESSFUL,1
CLM100099,premium,mechanical,4300.0,False,1,6.3,40,east,agent,0.377,AUTO_PROCESS,N/A,47.54,0.12,SUCCESSFUL,1
CLM100100,premium,airline_fault,26100.0,False,0,8.1,30,north,agent,0.227,AUTO_PROCESS,N/A,44.54,0.17,SUCCESSFUL,1
CLM100101,silver,other,13000.0,True,0,2.6,27,east,agent,0.222,AUTO_PROCESS,N/A,44.44,0.2,SUCCESSFUL,1
CLM100102,standard,weather,116200.0,True,0,2.2,10,west,call_center,0.424,HUMAN_REVIEW,REJECT,257.93,44.94,CUSTOMER_COMPLAINT,0
CLM100103,premium,other,16700.0,True,1,4.2,24,north,agent,0.14,AUTO_PROCESS,N/A,42.8,0.08,SUCCESSFUL,1
CLM100104,silver,medical,50200.0,True,2,4.6,22,north,app,0.111,HUMAN_REVIEW,APPROVE,239.36,44.02,SUCCESSFUL,1
CLM100105,silver,theft,35500.0,True,1,3.7,40,east,agent,0.236,AUTO_PROCESS,N/A,44.72,0.2,SUCCESSFUL,1
CLM100106,standard,mechanical,40900.0,True,2,7.7,9,west,app,0.231,AUTO_PROCESS,N/A,44.62,0.22,SUCCESSFUL,1
CLM100107,standard,medical,23000.0,False,0,5.6,25,north,app,0.486,AUTO_PROCESS,N/A,49.72,0.2,DISPUTED,0
CLM100108,standard,medical,122900.0,True,2,4.7,12,east,call_center,0.331,HUMAN_REVIEW,REJECT,265.8,63.64,CUSTOMER_COMPLAINT,0
CLM100109,premium,airline_fault,10700.0,True,0,3.5,31,south,agent,0.0,AUTO_PROCESS,N/A,40.0,0.07,SUCCESSFUL,1
CLM100110,standard,other,20600.0,False,1,10.0,35,north,agent,0.505,AUTO_PROCESS,N/A,50.1,0.26,SUCCESSFUL,1
CLM100111,standard,mechanical,69800.0,True,1,6.7,29,west,app,0.323,HUMAN_REVIEW,REJECT,187.28,18.91,FRAUD_CONFIRMED,0
CLM100112,standard,mechanical,27500.0,True,2,10.7,1,east,agent,0.127,AUTO_PROCESS,N/A,42.54,0.27,REOPENED,0
CLM100113,silver,mechanical,11900.0,False,0,4.3,28,west,agent,0.319,AUTO_PROCESS,N/A,46.38,0.09,CUSTOMER_COMPLAINT,0
CLM100114,standard,medical,13100.0,True,1,2.8,2,west,app,0.013,AUTO_PROCESS,N/A,40.26,0.23,REOPENED,0
CLM100115,premium,mechanical,16800.0,False,0,7.1,35,west,app,0.38,AUTO_PROCESS,N/A,47.6,0.09,SUCCESSFUL,1
CLM100116,silver,mechanical,27800.0,True,1,3.7,9,west,agent,0.15,AUTO_PROCESS,N/A,43.0,0.09,SUCCESSFUL,1
CLM100117,silver,airline_fault,28400.0,True,2,2.6,37,north,agent,0.112,AUTO_PROCESS,N/A,42.24,0.11,SUCCESSFUL,1
CLM100118,standard,mechanical,30700.0,True,2,3.4,24,south,call_center,0.118,AUTO_PROCESS,N/A,42.36,0.16,SUCCESSFUL,1
CLM100119,silver,airline_fault,275500.0,True,0,5.9,6,south,app,0.142,HUMAN_REVIEW,APPROVE,237.34,21.85,SUCCESSFUL,1
CLM100120,silver,other,51800.0,True,2,3.9,25,north,app,0.216,HUMAN_REVIEW,REJECT,249.2,39.84,FRAUD_CONFIRMED,0
CLM100121,silver,mechanical,101800.0,True,0,2.9,16,east,app,0.468,HUMAN_REVIEW,REJECT,292.13,45.38,FRAUD_CONFIRMED,0
CLM100122,standard,other,37100.0,False,0,3.5,36,west,agent,0.575,AUTO_PROCESS,N/A,51.5,0.27,DISPUTED,0
CLM100123,standard,medical,21500.0,True,0,2.7,27,east,app,0.146,AUTO_PROCESS,N/A,42.92,0.25,SUCCESSFUL,1
CLM100124,standard,medical,26500.0,True,2,2.2,21,north,app,0.272,AUTO_PROCESS,N/A,45.44,0.25,SUCCESSFUL,1
CLM100125,standard,other,89400.0,False,1,1.5,23,west,app,0.788,HUMAN_REVIEW,REJECT,240.85,33.86,CUSTOMER_COMPLAINT,0
CLM100126,standard,weather,74000.0,True,0,7.7,18,west,agent,0.304,HUMAN_REVIEW,APPROVE,253.69,53.06,SUCCESSFUL,1
CLM100127,standard,theft,41300.0,False,0,7.6,22,west,agent,0.724,AUTO_PROCESS,N/A,54.48,0.21,DISPUTED,0
CLM100128,standard,airline_fault,58600.0,True,3,4.5,10,north,call_center,0.498,HUMAN_REVIEW,REJECT,274.89,63.83,CUSTOMER_COMPLAINT,0
CLM100129,silver,airline_fault,41100.0,True,2,2.4,0,south,call_center,0.031,AUTO_PROCESS,N/A,40.62,0.23,SUCCESSFUL,1
CLM100130,standard,mechanical,47800.0,True,1,3.2,16,west,app,0.257,AUTO_PROCESS,N/A,45.14,0.24,SUCCESSFUL,1
CLM100131,premium,medical,22500.0,False,1,1.8,28,west,app,0.455,AUTO_PROCESS,N/A,49.1,0.26,SUCCESSFUL,1
CLM100132,silver,other,7200.0,False,1,1.6,40,west,app,0.5,AUTO_PROCESS,N/A,50.0,0.27,REOPENED,0
CLM100133,standard,weather,18100.0,False,2,2.5,9,north,app,0.393,AUTO_PROCESS,N/A,47.86,0.25,SUCCESSFUL,1
CLM100134,silver,medical,25200.0,True,1,5.3,20,east,call_center,0.029,AUTO_PROCESS,N/A,40.58,0.17,SUCCESSFUL,1
CLM100135,standard,weather,7000.0,True,1,1.4,3,south,call_center,0.0,AUTO_PROCESS,N/A,40.0,0.24,SUCCESSFUL,1
CLM100136,premium,airline_fault,68500.0,True,0,5.6,18,west,agent,0.004,HUMAN_REVIEW,APPROVE,243.8,66.96,SUCCESSFUL,1
CLM100137,standard,airline_fault,19100.0,True,0,4.8,36,north,call_center,0.268,AUTO_PROCESS,N/A,45.36,0.09,FRAUD_CONFIRMED,0
CLM100138,silver,theft,51100.0,True,1,4.7,3,west,agent,0.282,HUMAN_REVIEW,APPROVE,234.3,45.51,SUCCESSFUL,1
CLM100139,standard,mechanical,58900.0,True,1,3.9,8,south,agent,0.257,HUMAN_REVIEW,APPROVE,288.78,45.77,SUCCESSFUL,1
CLM100140,standard,weather,33600.0,False,0,4.7,28,south,app,0.369,AUTO_PROCESS,N/A,47.38,0.17,SUCCESSFUL,1
CLM100141,standard,airline_fault,33100.0,True,2,3.6,37,east,call_center,0.16,AUTO_PROCESS,N/A,43.2,0.1,SUCCESSFUL,1
CLM100142,premium,theft,67300.0,True,0,1.4,17,south,app,0.314,HUMAN_REVIEW,APPROVE,187.76,53.53,DISPUTED,0
CLM100143,silver,other,18700.0,True,0,9.4,36,north,call_center,0.253,AUTO_PROCESS,N/A,45.06,0.13,SUCCESSFUL,1
CLM100144,standard,airline_fault,17100.0,True,0,3.0,30,west,call_center,0.089,AUTO_PROCESS,N/A,41.78,0.24,SUCCESSFUL,1
CLM100145,standard,medical,18700.0,True,2,3.1,36,west,agent,0.139,AUTO_PROCESS,N/A,42.78,0.21,SUCCESSFUL,1
CLM100146,standard,theft,83100.0,True,0,4.0,2,east,app,0.57,HUMAN_REVIEW,REJECT,275.03,37.41,CUSTOMER_COMPLAINT,0
CLM100147,standard,mechanical,16200.0,False,2,10.5,4,north,agent,0.443,AUTO_PROCESS,N/A,48.86,0.05,SUCCESSFUL,1
CLM100148,standard,airline_fault,97800.0,True,1,6.6,5,east,agent,0.435,HUMAN_REVIEW,APPROVE,215.31,37.63,SUCCESSFUL,1
CLM100149,standard,other,34900.0,True,0,4.5,5,east,agent,0.131,AUTO_PROCESS,N/A,42.62,0.16,SUCCESSFUL,1
CLM100150,silver,mechanical,25300.0,True,1,3.9,34,west,app,0.0,AUTO_PROCESS,N/A,40.0,0.29,SUCCESSFUL,1
CLM100151,premium,mechanical,34400.0,True,0,3.0,10,east,app,0.069,AUTO_PROCESS,N/A,41.38,0.27,SUCCESSFUL,1
CLM100152,standard,other,70600.0,True,0,5.0,43,west,agent,0.387,HUMAN_REVIEW,APPROVE,220.32,70.04,SUCCESSFUL,1
CLM100153,silver,other,89500.0,True,2,2.7,20,north,app,0.356,HUMAN_REVIEW,REJECT,228.44,16.13,CUSTOMER_COMPLAINT,0
CLM100154,standard,medical,68300.0,True,1,3.8,30,south,app,0.203,HUMAN_REVIEW,APPROVE,266.34,47.97,SUCCESSFUL,1
CLM100155,silver,other,500000.0,False,1,8.0,31,south,call_center,0.754,HUMAN_REVIEW,APPROVE,244.1,16.23,DISPUTED,0
CLM100156,standard,airline_fault,5800.0,True,1,3.6,11,south,agent,0.215,AUTO_PROCESS,N/A,44.3,0.26,SUCCESSFUL,1
CLM100157,silver,medical,32100.0,True,2,5.2,29,west,app,0.018,AUTO_PROCESS,N/A,40.36,0.18,SUCCESSFUL,1
CLM100158,silver,weather,38500.0,True,0,3.2,22,south,agent,0.118,AUTO_PROCESS,N/A,42.36,0.15,SUCCESSFUL,1
CLM100159,silver,other,74700.0,False,0,3.0,3,north,app,0.673,HUMAN_REVIEW,REJECT,265.5,66.88,FRAUD_CONFIRMED,0
CLM100160,standard,mechanical,27600.0,False,0,7.6,36,east,app,0.496,AUTO_PROCESS,N/A,49.92,0.08,REOPENED,0
CLM100161,premium,airline_fault,52400.0,False,0,6.0,0,south,app,0.31,HUMAN_REVIEW,APPROVE,251.45,35.61,SUCCESSFUL,1
CLM100162,standard,mechanical,21500.0,True,1,7.1,12,south,call_center,0.125,AUTO_PROCESS,N/A,42.5,0.17,SUCCESSFUL,1
CLM100163,standard,medical,41800.0,True,0,5.0,41,east,agent,0.126,AUTO_PROCESS,N/A,42.52,0.13,SUCCESSFUL,1
CLM100164,silver,mechanical,13000.0,True,1,4.1,17,east,call_center,0.147,AUTO_PROCESS,N/A,42.94,0.29,SUCCESSFUL,1
CLM100165,standard,medical,8500.0,True,0,1.1,24,east,agent,0.228,AUTO_PROCESS,N/A,44.56,0.16,SUCCESSFUL,1
CLM100166,silver,airline_fault,20700.0,True,0,2.1,27,west,agent,0.214,AUTO_PROCESS,N/A,44.28,0.07,SUCCESSFUL,1
CLM100167,silver,airline_fault,43100.0,True,2,1.8,32,north,agent,0.038,AUTO_PROCESS,N/A,40.76,0.21,SUCCESSFUL,1
CLM100168,standard,theft,5900.0,False,0,3.4,1,east,agent,0.448,AUTO_PROCESS,N/A,48.96,0.22,REOPENED,0
CLM100169,premium,mechanical,57100.0,True,2,4.6,9,south,agent,0.245,HUMAN_REVIEW,APPROVE,248.04,24.78,SUCCESSFUL,1
CLM100170,standard,medical,11000.0,True,1,1.9,5,west,app,0.114,AUTO_PROCESS,N/A,42.28,0.19,SUCCESSFUL,1
CLM100171,standard,other,40900.0,True,0,1.7,39,east,app,0.32,AUTO_PROCESS,N/A,46.4,0.16,SUCCESSFUL,1
CLM100172,standard,medical,31700.0,True,1,3.2,44,west,app,0.255,AUTO_PROCESS,N/A,45.1,0.17,SUCCESSFUL,1
CLM100173,premium,mechanical,6600.0,True,1,1.5,41,north,app,0.047,AUTO_PROCESS,N/A,40.94,0.25,SUCCESSFUL,1
CLM100174,standard,theft,8200.0,True,0,7.8,30,west,app,0.454,AUTO_PROCESS,N/A,49.08,0.29,CUSTOMER_COMPLAINT,0
CLM100175,standard,other,68400.0,True,0,2.0,26,south,agent,0.527,HUMAN_REVIEW,APPROVE,268.49,12.34,SUCCESSFUL,1
CLM100176,standard,medical,59200.0,False,0,3.2,36,north,app,0.54,HUMAN_REVIEW,APPROVE,263.28,63.51,SUCCESSFUL,1
CLM100177,premium,other,11100.0,True,1,2.4,39,east,app,0.149,AUTO_PROCESS,N/A,42.98,0.07,SUCCESSFUL,1
CLM100178,premium,weather,19600.0,False,2,3.2,41,west,agent,0.422,AUTO_PROCESS,N/A,48.44,0.14,SUCCESSFUL,1
CLM100179,silver,medical,38300.0,False,1,1.0,5,north,app,0.412,AUTO_PROCESS,N/A,48.24,0.21,SUCCESSFUL,1
CLM100180,premium,airline_fault,19000.0,True,2,8.1,37,north,call_center,0.0,AUTO_PROCESS,N/A,40.0,0.26,SUCCESSFUL,1
CLM100181,premium,medical,24300.0,True,0,9.1,37,north,app,0.027,AUTO_PROCESS,N/A,40.54,0.11,SUCCESSFUL,1
CLM100182,standard,other,45800.0,False,0,1.6,27,west,call_center,0.716,AUTO_PROCESS,N/A,54.32,0.11,SUCCESSFUL,1
CLM100183,standard,other,9100.0,True,2,4.3,10,east,app,0.098,AUTO_PROCESS,N/A,41.96,0.2,SUCCESSFUL,1
CLM100184,silver,airline_fault,19500.0,True,2,4.5,24,south,agent,0.151,AUTO_PROCESS,N/A,43.02,0.09,SUCCESSFUL,1
CLM100185,silver,other,28400.0,True,0,3.8,34,north,call_center,0.098,AUTO_PROCESS,N/A,41.96,0.11,CUSTOMER_COMPLAINT,0
CLM100186,standard,airline_fault,33100.0,False,0,7.2,10,south,app,0.35,AUTO_PROCESS,N/A,47.0,0.29,DISPUTED,0
CLM100187,standard,mechanical,37700.0,True,2,5.8,34,south,call_center,0.228,AUTO_PROCESS,N/A,44.56,0.09,SUCCESSFUL,1
CLM100188,silver,medical,28200.0,True,1,2.8,39,north,agent,0.002,AUTO_PROCESS,N/A,40.04,0.1,SUCCESSFUL,1
